DR,A%,DF%,1stIn,1st%,2nd%
,,,,,
1.14,4.4%,2.2%,62.2%,78.6%,41.2%
1.23,9.6%,4.8%,55.4%,71.7%,40.5%
1.62,14.6%,6.3%,45.8%,90.9%,46.2%
1.49,1.6%,9.8%,50.8%,80.6%,43.3%
1.37,8.0%,13.8%,46.0%,82.5%,40.4%
1.31,4.3%,10.1%,52.2%,80.6%,51.5%
0.93,7.1%,9.5%,53.6%,75.6%,41.0%
1.65,16.1%,7.1%,46.4%,84.6%,53.3%
1.03,7.7%,3.3%,58.2%,62.3%,52.6%
1.17,8.3%,0.0%,64.3%,74.1%,50.0%
1.06,12.5%,3.8%,58.7%,68.9%,51.2%
2.21,13.3%,2.2%,64.4%,79.3%,75.0%
1.07,10.3%,4.1%,52.6%,74.5%,45.7%
0.68,4.8%,3.6%,56.6%,68.1%,38.9%
0.77,17.4%,0.0%,56.5%,69.2%,35.0%
1.25,8.7%,1.4%,59.4%,70.7%,53.6%
1.19,8.6%,3.7%,50.6%,78.0%,52.5%
1.48,20.0%,0.0%,56.0%,71.4%,63.6%
1.39,6.9%,3.4%,62.1%,75.0%,50.0%
1.31,12.2%,3.7%,54.9%,73.3%,54.1%
1.80,8.2%,0.0%,63.9%,76.9%,81.8%
1.42,12.7%,7.3%,54.5%,76.7%,64.0%
