DR,A%,DF%,1stIn,1st%,2nd%
1.07,2.0%,3.9%,55.9%,63.2%,48.9%
1.47,5.4%,7.1%,60.7%,76.5%,50.0%
1.55,1.8%,3.5%,61.4%,85.7%,40.9%
0.76,0.0%,3.8%,73.6%,56.4%,35.7%
1.78,2.4%,7.1%,61.9%,65.4%,62.5%
1.06,6.2%,6.2%,60.8%,61.0%,36.8%
1.14,2.9%,5.8%,76.7%,60.8%,45.8%
0.73,1.6%,4.9%,68.9%,50.0%,21.1%
0.60,2.0%,8.2%,61.2%,53.3%,15.8%
1.42,1.8%,5.4%,55.4%,71.0%,44.0%
0.89,1.2%,2.3%,66.3%,63.2%,51.7%
0.72,9.5%,9.5%,60.3%,57.9%,32.0%
0.64,1.8%,3.6%,48.2%,37.0%,44.8%
0.92,0.0%,2.0%,55.0%,72.7%,55.6%
1.18,3.5%,2.3%,61.6%,69.8%,54.5%
0.76,6.3%,3.1%,62.5%,47.5%,41.7%
1.23,4.1%,5.4%,54.1%,70.0%,47.1%
0.68,3.0%,3.0%,68.7%,50.0%,52.4%
1.13,1.1%,3.3%,67.4%,67.7%,40.0%
