Date,Opponent,Score,DR,A%,DF%,1stIn,1st%,2nd%,Player,Ret_TPW,Ret_RPW,Ret_vA%,Ret_v1st%,Ret_v2nd%,Ret_BPCnv,Ret_Time,Total_Games,Surface_Carpet,Surface_Clay,Surface_Grass,Surface_Hard,Rd_BR,Rd_F,Rd_Q1,Rd_Q2,Rd_Q3,Rd_QF,Rd_R128,Rd_R16,Rd_R32,Rd_R64,Rd_RR,Rd_SF
2002-04-15,Franco Squillari,7-6(5) 3-6 7-5,1.05,0.9%,0.055999999999999994,0.648,0.6,0.42100000000000004,Richard Gasquet,0.512,0.485,0.049,0.34,0.64,1.0,2.4,34,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2002-04-15,Marat Safin,6-4 6-1,0.63,1.8%,0.08800000000000001,0.439,0.56,0.5,Richard Gasquet,0.414,0.29600000000000004,0.0,0.21899999999999997,0.409,0.0,1.18,17,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2002-04-29,Olivier Rochus,6-2 6-2,0.55,0.0%,0.0,0.831,0.5710000000000001,0.2,Rafael Nadal,0.402,0.271,0.021,0.324,0.14300000000000002,0.0,1.03,16,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2002-04-29,Ramon Delgado,6-4 6-4,1.28,1.5%,0.015,0.894,0.61,0.429,Rafael Nadal,0.56,0.525,0.034,0.439,0.722,0.71,1.38,20,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2002-05-27,Albert Costa,3-6 6-0 6-4 6-3,0.70,1.6%,0.071,0.535,0.618,0.441,Richard Gasquet,0.444,0.32299999999999995,0.021,0.276,0.395,1.0,2.35,34,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2002-06-10,Neville Godwin,7-6(4) 5-7 6-3,0.81,1.9%,0.0,0.6629999999999999,0.638,0.5429999999999999,Richard Gasquet,0.47,0.319,0.032,0.242,0.469,0.75,1.87,34,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2002-09-23,David Sanchez,6-2 2-0 RET,0.16,0.0%,0.059000000000000004,0.647,0.636,0.083,Richard Gasquet,0.304,0.091,0.045,0.11800000000000001,0.0,0.0,0.62,10,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2002-10-07,Marat Safin,6-4 7-6(5),0.77,9.6%,0.068,0.589,0.767,0.433,Richard Gasquet,0.462,0.28600000000000003,0.257,0.175,0.433,0.5,1.32,23,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2002-12-30,Arnaud Di Pasquale,3-6 6-3 6-4,1.17,5.6%,0.044000000000000004,0.5,0.7559999999999999,0.578,Richard Gasquet,0.528,0.389,0.1,0.34,0.442,0.5,2.12,28,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2002-12-30,Alberto Martin,7-5 6-1,0.65,6.3%,0.079,0.54,0.5589999999999999,0.483,Richard Gasquet,0.426,0.308,0.057999999999999996,0.19399999999999998,0.47600000000000003,0.25,1.13,19,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2003-01-13,Mikhail Youzhny,3-6 6-0 6-1 6-4,0.69,0.0%,0.061,0.5,0.633,0.38799999999999996,Richard Gasquet,0.426,0.34,0.040999999999999995,0.24600000000000002,0.5,0.25,2.08,32,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2003-02-10,Feliciano Lopez,6-7(4) 6-4 6-4,1.33,6.6%,0.022000000000000002,0.5820000000000001,0.792,0.711,Richard Gasquet,0.52,0.321,0.064,0.313,0.33299999999999996,0.33,1.9,33,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2003-02-10,Olivier Rochus,6-7(1) 5-0 RET,0.85,3.2%,0.079,0.5870000000000001,0.622,0.34600000000000003,Richard Gasquet,0.466,0.418,0.018000000000000002,0.34299999999999997,0.55,1.0,1.37,18,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2003-03-17,Jean Rene Lisnard,3-6 6-1 2-1 RET,0.64,2.8%,0.042,0.611,0.659,0.35700000000000004,Richard Gasquet,0.439,0.294,0.078,0.263,0.385,0.17,1.23,19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2003-04-14,Guillermo Coria,7-6(3) 6-2,0.82,0.0%,0.036000000000000004,0.607,0.5,0.455,Rafael Nadal,0.451,0.424,0.0,0.37799999999999995,0.483,0.38,1.57,21,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2003-04-14,David Nalbandian,6-4 6-0,0.63,2.3%,0.045,0.591,0.615,0.111,Richard Gasquet,0.39,0.375,0.0,0.39399999999999996,0.348,0.2,1.08,16,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2003-04-14,Karol Kucera,6-1 6-2,2.19,0.0%,0.043,0.66,0.8059999999999999,0.625,Rafael Nadal,0.6559999999999999,0.5579999999999999,0.07,0.435,0.7,0.67,1.05,15,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
