Date,Surface,Rd,Opponent,Score,DR,A%,DF%,1stIn,1st%,2nd%,Player,Ret_TPW,Ret_RPW,Ret_vA%,Ret_v1st%,Ret_v2nd%,Ret_BPCnv,Ret_Time
5‑May‑2025,Hard,R32,Andre Ilagan,6-4 4-1 RET,0.57,0.0%,18.6%,46.5%,75.0%,34.8%,Adam Walton,40.7%,26.3%,5.3%,18.2%,37.5%,1/1,0:59
28‑Apr‑2025,Hard,R16,Alibek Kachmazov,4-6 7-6(2) 6-2,0.92,8.3%,6.3%,60.4%,62.1%,55.3%,Adam Walton,47.2%,37.3%,11.0%,23.3%,51.7%,3/12,2:40
28‑Apr‑2025,Hard,R32,Andre Ilagan,6-3 7-6(3),1.38,18.0%,4.9%,54.1%,87.9%,53.6%,Adam Walton,54.2%,38.6%,4.3%,38.5%,38.7%,2/6,1:24
21‑Apr‑2025,Hard,R16,Jason Kubler,6-4 6-1,0.69,4.9%,7.3%,41.5%,58.8%,41.7%,Adam Walton,41.3%,35.3%,3.9%,17.9%,56.5%,1/1,1:15
21‑Apr‑2025,Hard,R32,Marat Sharipov,6-3 6-2,1.6,8.2%,2.0%,44.9%,63.6%,77.8%,Adam Walton,57.5%,45.6%,10.5%,44.4%,47.6%,4/10,1:09
14‑Apr‑2025,Hard,F,Terence Atmane,6-3 6-4,0.66,2.0%,2.0%,70.6%,58.3%,53.3%,Adam Walton,42.1%,28.6%,14.3%,21.9%,37.5%,1/2,1:12
14‑Apr‑2025,Hard,SF,Jason Kubler,7-6(6) 6-7(3) 7-5,1.08,6.6%,3.3%,63.6%,64.9%,52.3%,Adam Walton,51.2%,42.9%,7.5%,31.8%,62.5%,7/16,3:27
14‑Apr‑2025,Hard,QF,Yasutaka Uchiyama,7-5 5-7 6-3,1.4,6.6%,2.2%,68.1%,82.3%,58.6%,Adam Walton,54.2%,35.4%,11.1%,28.8%,45.0%,3/14,2:25
14‑Apr‑2025,Hard,R16,Yuta Shimizu,6-2 7-6(4),1.68,14.5%,1.6%,80.6%,80.0%,66.7%,Adam Walton,57.0%,37.9%,0.0%,28.9%,50.0%,2/4,1:47
14‑Apr‑2025,Hard,R32,Rio Noguchi,6-0 6-2,2.05,17.9%,2.6%,64.1%,80.0%,57.1%,Adam Walton,64.3%,57.8%,0.0%,46.7%,80.0%,5/7,0:59
