DR,A%,DF%,1stIn,1st%,2nd%,Result
1.73,2.2,2.2,64.4,69.0,56.3,1
1.12,2.1,0.0,80.9,78.9,55.6,1
1.04,12.0,6.5,69.6,71.9,57.1,1
2.06,23.8,2.4,61.9,80.8,68.8,1
1.75,8.3,10.4,77.1,89.2,36.4,1
1.17,13.0,2.9,68.1,74.5,59.1,1
1.17,4.3,2.6,68.1,73.4,59.5,1
1.44,0.0,0.0,69.6,79.5,35.3,1
1.58,9.5,4.8,47.6,75.0,59.1,1
0.98,7.1,7.1,70.6,63.3,64.0,1
0.91,11.3,0.0,68.8,69.1,56.0,1
1.55,10.9,0.0,76.4,76.2,76.9,1
1.96,16.3,2.0,89.8,81.8,40.0,1
1.1,5.7,1.9,62.3,66.7,60.0,1
0.81,10.2,0.0,74.6,68.2,33.3,1
0.98,8.2,1.0,64.3,77.8,60.0,1
0.95,10.5,5.3,63.2,64.6,60.7,1
1.36,7.7,5.1,65.4,66.7,66.7,1
1.17,4.0,4.0,60.0,71.1,56.7,1
